geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2010	ANNUAL	T_PER_HA	1	66.02688198	33.83160199	2	AFG	Afghanistan	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	46.9630	Float		FAO estimates	E
4	2015	ANNUAL	T_PER_HA	1	66.02688198	33.83160199	2	AFG	Afghanistan	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	46.9630	Float		FAO estimates	E
8	2010	ANNUAL	T_PER_HA	1	20.06660928	41.13897007	6	ALB	Albania	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	95.4528	Float		FAO estimates	E
8	2015	ANNUAL	T_PER_HA	1	20.06660928	41.13897007	6	ALB	Albania	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	97.6021	Float		FAO estimates	E
10	2010	ANNUAL	T_PER_HA	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	ANNUAL	T_PER_HA	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2010	ANNUAL	T_PER_HA	1	2.678164227	28.15940032	66	DZA	Algeria	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	34.1241	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
12	2015	ANNUAL	T_PER_HA	1	2.678164227	28.15940032	66	DZA	Algeria	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	34.1258	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
16	2010	ANNUAL	T_PER_HA	1	-170.7187269	-14.30587306	12	ASM	American Samoa	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	176.8293	Float		FAO estimates	E
16	2015	ANNUAL	T_PER_HA	1	-170.7187269	-14.30587306	12	ASM	American Samoa	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	177.5637	Float		FAO estimates	E
20	2010	ANNUAL	T_PER_HA	1	1.576257417	42.54548611	7	AND	Andorra							
20	2015	ANNUAL	T_PER_HA	1	1.576257417	42.54548611	7	AND	Andorra							
24	2010	ANNUAL	T_PER_HA	1	17.57817062	-12.33724746	3	AGO	Angola	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	128.6594	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
24	2015	ANNUAL	T_PER_HA	1	17.57817062	-12.33724746	3	AGO	Angola	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	128.6470	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
28	2010	ANNUAL	T_PER_HA	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda							
28	2015	ANNUAL	T_PER_HA	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda							
31	2010	ANNUAL	T_PER_HA	1	50.01064725	40.39229544	19	AZE	Azerbaijan							
31	2015	ANNUAL	T_PER_HA	1	50.01064725	40.39229544	19	AZE	Azerbaijan							
32	2010	ANNUAL	T_PER_HA	1	-65.14563274	-35.19446255	10	ARG	Argentina	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	180.0951	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
32	2015	ANNUAL	T_PER_HA	1	-65.14563274	-35.19446255	10	ARG	Argentina	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	182.6866	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2010	ANNUAL	T_PER_HA	1	134.3499412	-25.57717202	17	AUS	Australia	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	90.4627	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2015	ANNUAL	T_PER_HA	1	134.3499412	-25.57717202	17	AUS	Australia							
40	2010	ANNUAL	T_PER_HA	1	14.14172472	47.58704857	18	AUT	Austria	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	162.6943	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
40	2015	ANNUAL	T_PER_HA	1	14.14172472	47.58704857	18	AUT	Austria	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare	165.1590	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
44	2010	ANNUAL	T_PER_HA	1	-78.05111663	24.69546597	27	BHS	Bahamas							
44	2015	ANNUAL	T_PER_HA	1	-78.05111663	24.69546597	27	BHS	Bahamas							
48	2010	ANNUAL	T_PER_HA	1	50.5490754	26.04407747	26	BHR	Bahrain							
48	2015	ANNUAL	T_PER_HA	1	50.5490754	26.04407747	26	BHR	Bahrain							
